Index,Release Date,Season,Episode,Episode Title,Name,gender,class,house,Sentence,
8000,4/14/2013,Season 3,Episode 3,Walk of Punishment,anguy,male,common,none,Watch your head. Off we go.,1
8410,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,anguy,male,common,none,Some of us were swineherds. And some of us tanners and masons. That was before.,1
8426,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,anguy,male,common,none,"And a kinder fate than you deserve. Lions you call yourselves. At the Mummer's Ford, girls of seven years were raped and babes still on the breast were cut in two while their mothers watched.",1
8430,4/21/2013,Season 3,Episode 4,And Now His Watch Is Ended,anguy,male,common,none,Murder is a crime.,1
8529,4/28/2013,Season 3,Episode 5,Kissed by Fire,anguy,male,common,none,We're outlaws. Outlaws steal. You're lucky we didn't kill you.,1
8983,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,You're good. You're not as good as you think you are.,1
8985,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,"Aye, but you took your sweet time of it. You won't be fighting straw men, little lady. Show me your position.",1
8986,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,Keep your elbow high. You want your back doing the hard labor. You're holding. Never hold.,1
8988,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,Your muscles tense up when you hold. Pull the string back to the center of your chin and release. Never hold.,1
8990,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,Never aim.,1
8992,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,Your eye knows where it wants the arrow to go. Trust your eye.,1
8994,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,That's about far enough.,1
8996,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,"Begging your pardon, m'lady, but we'll be the judge of that.",1
9017,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,Bodkin point. Penetrates plate at two hundred yards. Can you make 'em?,1
9019,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,I'll get you the steel.,1
9022,5/5/2013,Season 3,Episode 6,The Climb,anguy,male,common,none,That's 'cause you're a girl.,1
9451,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,anguy,male,common,none,Spotted a Lannister raiding party.,1
9453,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,anguy,male,common,none,No more than twenty.,1
9455,5/12/2013,Season 3,Episode 7,The Bear and the Maiden Fair,anguy,male,common,none,Less than a day's ride south.,1
3186,4/1/2012,Season 2,Episode 1,The North Remembers,announcer,male,common,none,"Lothor Brune, freerider in the service of Lord Baelish.",1
3187,4/1/2012,Season 2,Episode 1,The North Remembers,announcer,male,common,none,Ser Dontos the Red of House Hollard.,1
3188,4/1/2012,Season 2,Episode 1,The North Remembers,announcer,male,common,none,Ser Dontos the Red of House Hollard!,1
16861,6/7/2015,Season 5,Episode 9,The Dance of Dragons,announcer,male,common,none,"Free citizens of Meereen! By the blessings of the Graces and her majesty the Queen, welcome to the Great Games!",1
16862,6/7/2015,Season 5,Episode 9,The Dance of Dragons,announcer,male,common,none,"My queen, our first contest. Who will triumph",1
16882,6/7/2015,Season 5,Episode 9,The Dance of Dragons,announcer,male,common,none,We ask again,1
16886,6/7/2015,Season 5,Episode 9,The Dance of Dragons,announcer,male,common,none,A Meereenese champion?,1
16893,6/7/2015,Season 5,Episode 9,The Dance of Dragons,announcer,male,common,none,or a Westerosi Knight?!,1
13378,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"Yes, we all know how close you were. Lady Arryn's predilections were her own affair. Her death is our affair.",2
13380,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,She was an odd fish. Everyone knew that. But suicide? She adored that boy of hers. I don't see her abandoning him. Not by choice.,2
13384,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"A niece of yours, I believe.",2
13388,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,No need. We prefer to hear her testimony unadulterated.,2
13389,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"Come closer, child. You have nothing to fear from us or him. Lord Baelish here is your uncle? Your name is Alayne? Perhaps you would feel more comfortable if Lord Baelish left the room.",2
13391,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,I wasn't asking you.,2
13395,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"Please, Alayne, leave nothing out.",2
13401,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"Tell us what happened to your aunt, Sansa.",2
13405,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"Shh. Shh, it's not your fault, sweet girl. It's not your fault.",2
13407,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,Lord Royce! This is hardly the time.,2
13410,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"Not much justice to be meted out in suicide, is there?",2
13416,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,"Who would you have us back, Lord Baelish? Robb Stark is dead.",2
13418,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,Robin Arryn is a sickly little boy.,2
13420,6/1/2014,Season 4,Episode 8,The Mountain and the Viper,anya waynwood,female,noble,lesser,More often they die young.,2
21350,8/6/2017,Season 7,Episode 4,The Spoils Of War,archers,none,none,none,Knock! Draw!,1
21486,8/13/2017,Season 7,Episode 5,Eastwatch,archmaester,male,cleric,none,MARWYN and other citadel maesters are seated at a council table. MARWYN has a raven scroll in his hand and the maesters are discussing the contents. SAMWELL enters the room carrying a large stock of books and scrolls. MARWYN points SAM to a nearby table to offload the books.,1
14563,4/19/2015,Season 5,Episode 2,The House of Black and White,areo hotah,male,common,none,The prince does not wish to be disturbed.,2
15901,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",areo hotah,male,common,none,"Yes, my prince.",2
15903,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",areo hotah,male,common,none,I remember how.,2
15935,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",areo hotah,male,common,none,Drop you weapons!,2
15937,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",areo hotah,male,common,none,Drop your weapons!,2
15938,5/17/2015,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",areo hotah,male,common,none,"When you were whole, it would have been a good fight.",2
16260,5/24/2015,Season 5,Episode 7,The Gift,areo hotah,male,common,none,Prince Doran hopes this satisfies your concerns about the princess's wellbeing.,2
16749,6/7/2015,Season 5,Episode 9,The Dance of Dragons,areo hotah,male,common,none,You'll find out very soon.,2
17695,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,Lord Stark,2
17697,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,We weren't there,2
17700,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,Our prince wanted us here,2
17702,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,I wish you good fortune in the wars to come,2
17703,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,And now it begins,2
17790,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,Better,2
17792,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,No one's seen him,2
17797,5/8/2016,Season 6,Episode 3,Oathbreaker,arthur dayne,male,noble,lesser,He called us his little birds He gave us sweets,2
118,4/17/2011,Season 1,Episode 1,Winter is Coming,arya stark,female,great_house,stark,Move!,
125,4/17/2011,Season 1,Episode 1,Winter is Coming,arya stark,female,great_house,stark,Where's the Imp?,
128,4/17/2011,Season 1,Episode 1,Winter is Coming,arya stark,female,great_house,stark,Arya.,
130,4/17/2011,Season 1,Episode 1,Winter is Coming,arya stark,female,great_house,stark,That's Jaime Lannister. The queen's twin brother.,
385,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,"Thank you, Nymeria. Septa Mordane says I have to do it again. ""My things weren't properly folded"", she says. Who cares how they're folded?! They're going to get all messed up anyway.",
387,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,"Watch. Nymeria, gloves.",
389,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,"Shut up. Nymeria, gloves!",
391,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,A present?,
393,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,It's so skinny.,
395,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,I can be quick.,
397,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,I think so.,
399,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,I know which end to use.,
401,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Sansa can keep her sewing needles. I've got a needle of my own.,
531,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,What are you doing here? Go away.,
535,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,He's my friend.,
541,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Stop it!,
546,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Nymeria!,
551,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,You've got to go. They'll kill you for what you did to Joffrey. Go on... run. Go! Leave now!,
555,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Go!,
564,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,I'm sorry.,
566,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,No.,
571,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,That's not true! She just... Bit him a little. He was hurting Mycah.,
573,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,That's not what happened!,
575,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Liar!,
582,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Liar! Liar liar liar!,
584,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Liar liar liar!,
600,4/24/2011,Season 1,Episode 2,The Kingsroad,arya stark,female,great_house,stark,Lady wasn't there! You leave her alone!,
686,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,I'm practicing.,
688,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,The Prince.,
690,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,He's a liar and a coward and he killed my friend.,
692,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,The Hound does whatever the Prince tells him to do.,
694,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,"You're a liar. And if you told the truth, Mycah would be alive.",
704,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,Go away!,
706,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,Mine.,
708,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,I wasn't playing. And I don't want to be a lady.,
710,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,It's called Needle.,
712,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,Stick 'em with the pointy end.,
714,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,I was trying to learn. I asked Mycah to practice with me. I asked him. It was my fault.,
716,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,"I hate them! I hate all of them. The Hound, the Queen and the King and Joffrey and Sansa.",
718,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,So was I! He is a liar.,
720,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,But how you can let her marry someone like that?,
722,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,Winter is coming.,
724,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,I don't hate her. Not really.,
726,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,I can keep it?,
952,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,Who are you?,
955,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,It's too heavy.,
957,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,What if I drop it?,
959,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,I'm a girl.,
961,5/1/2011,Season 1,Episode 3,Lord Snow,arya stark,female,great_house,stark,A needle.,
1152,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,female,great_house,stark,Syrio says a water dancer can stand on one toe for hours.,
1154,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,female,great_house,stark,Syrio says every hurt is a lesson and every lesson makes you better. Tomorrow I'm going to be chasing cats.,
1156,5/8/2011,Season 1,Episode 4,"Cripples, Bastards and Broken Things",arya stark,female,great_house,stark,He says every swordsman should study cats. They're quiet as shadows and as light as feathers. You have to be quick to catch them.,
